34,2,1,2
35,1,1,4
0,1,1,5
1,1,1,6
3,1,2,6
2,1,2,7
36,1,2,8
11,1,2,5
10,1,2,4
9,1,2,3
8,1,2,2
7,1,0,2
6,1,0,4
56,1,0,6
55,3,2,6
54,1,0,5
53,3,2,4
52,1,0,3
51,1,1,3
50,3,0,5
45,1,0,7
44,3,2,7
43,3,2,5
42,1,3,4
41,3,2,3
40,3,0,3
39,3,0,6
25,3,0,7
5,3,2,9
26,2,0,8
12,2,2,10
27,2,0,10
29,3,2,0
13,2,2,12
15,1,0,1
28,2,0,12
31,1,1,0
14,2,2,14
58,2,0,14
57,1,1,1
49,2,1,14
48,2,2,16
17,1,0,0
30,2,1,16
22,3,2,18
47,2,3,16
46,1,2,1
32,2,2,19
23,2,3,20
16,1,3,18
24,1,3,22
37,2,1,4
18,2,3,19
33,1,3,23
19,2,3,23
20,1,3,25
38,0,3,26
20060,3,0,2
62,1,1,2
61,0,1,5
20059,0,2,8
21,2,3,26
