34,2,2,3
35,1,2,5
0,1,2,6
1,1,2,7
3,1,2,1
2,3,2,8
36,3,2,9
11,1,2,4
10,1,2,3
9,1,0,0
8,3,2,6
7,1,0,3
6,1,2,2
56,3,2,7
55,3,2,5
54,3,2,4
53,1,0,1
52,3,0,7
51,1,0,4
50,1,1,3
45,1,1,7
44,1,0,5
43,1,1,4
42,1,1,1
41,3,1,7
40,3,0,4
39,3,2,3
25,3,0,8
5,1,1,9
26,2,0,9
12,2,1,10
27,2,0,11
29,1,0,6
13,2,1,12
15,1,1,6
28,2,0,13
31,3,0,6
14,2,1,14
58,2,0,15
57,2,0,7
49,2,1,15
48,3,1,16
17,3,0,3
30,2,0,17
22,3,1,17
47,2,1,16
46,3,1,4
32,2,0,19
23,2,1,18
16,2,2,18
24,2,2,23
37,2,2,5
18,2,2,20
33,2,3,26
19,2,3,25
20,2,3,28
38,2,3,30
20060,1,3,1
62,1,3,3
61,0,2,6
20059,0,2,10
21,2,3,31
